,Study_name,Respondent_Name,Gender,Age,Group,Type,Label,Start,Duration,ParentStimulus,Parent_Stimulus_Start,Parent_Stimulus_Duration,Hit_time_G,Time_spent_G,Time_spent_G_Percentage,Respondent_ratio_G,Revisit_G_Revisitors,Revisit_G_Visitors,Revisit_G_Revisits,TTFF_F,Time_spent_F,Time_spent_F_Percentage,Revisit_F_Revisitors,Revisit_F_Visitors,Revisit_F_Revisits,Fixations_Count,First_Fixation_Duration,Average_Fixations_Duration,Mouse_Clicks
0,ECG Study,Resident,MALE,0,resident,Stimulus,Normal sinus rhythm,178603,30068,,,,,,,,,,,,,,,,,,,,
1,ECG Study,Resident,MALE,0,resident,Static AOI,V5-1 NSR,178603,30068,Normal sinus rhythm,178603,30068,5875,750,2,1,1,1,3,5814,150,1,1,1,5,9,17,17,0
2,ECG Study,Resident,MALE,0,resident,Static AOI,II-1 NSR,178603,30068,Normal sinus rhythm,178603,30068,6375,2349,8,1,1,1,3,6064,1050,3,1,1,5,29,34,36,0
3,ECG Study,Resident,MALE,0,resident,Static AOI,V1-1 NSR,178603,30068,Normal sinus rhythm,178603,30068,5625,467,2,1,1,1,3,5481,133,0,1,1,2,4,33,33,0
4,ECG Study,Resident,MALE,0,resident,Static AOI,1 NSR,178603,30068,Normal sinus rhythm,178603,30068,875,1083,4,1,1,1,4,748,433,1,1,1,6,11,33,39,0
5,ECG Study,Resident,MALE,0,resident,Static AOI,aVR NSR,178603,30068,Normal sinus rhythm,178603,30068,3625,1533,5,1,1,1,2,3498,884,3,1,1,3,20,17,44,0
6,ECG Study,Resident,MALE,0,resident,Static AOI,V1 NSR,178603,30068,Normal sinus rhythm,178603,30068,4875,1000,3,1,1,1,2,3864,383,1,1,1,5,13,17,29,0
7,ECG Study,Resident,MALE,0,resident,Static AOI,V4 NSR,178603,30068,Normal sinus rhythm,178603,30068,16875,417,1,1,0,1,0,16881,216,1,0,1,0,5,17,43,0
8,ECG Study,Resident,MALE,0,resident,Static AOI,2 NSR,178603,30068,Normal sinus rhythm,178603,30068,625,3132,10,1,1,1,9,465,968,3,1,1,13,41,33,24,0
9,ECG Study,Resident,MALE,0,resident,Static AOI,aVL NSR,178603,30068,Normal sinus rhythm,178603,30068,2625,2216,7,1,1,1,3,2698,967,3,1,1,9,24,33,40,0
10,ECG Study,Resident,MALE,0,resident,Static AOI,V2 NSR,178603,30068,Normal sinus rhythm,178603,30068,14625,966,3,1,1,1,4,14697,200,1,1,1,7,9,17,22,0
11,ECG Study,Resident,MALE,0,resident,Static AOI,V5 NSR,178603,30068,Normal sinus rhythm,178603,30068,16625,1066,4,1,1,1,2,17364,383,1,1,1,4,8,117,48,0
12,ECG Study,Resident,MALE,0,resident,Static AOI,3 NSR,178603,30068,Normal sinus rhythm,178603,30068,1375,783,3,1,1,1,4,1331,300,1,1,1,7,13,17,23,0
13,ECG Study,Resident,MALE,0,resident,Static AOI,aVF NSR,178603,30068,Normal sinus rhythm,178603,30068,375,3049,10,1,1,1,6,265,1067,4,1,1,13,43,17,25,0
